Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,53,1763,16.4,.611,.493,.288,1.9,11.1,6.7,10.1,0.8,0.3,12.9,25.9,,2.6,1.6,4.2,.114,,1.9,-1.7,0.2,1.0
49,Jonah Bolden\boldejo01,PF,24,TOT,5,40,7.0,.465,.222,.444,8.1,14.0,11.0,0.0,2.4,4.3,15.7,13.6,,0.0,0.1,0.0,.025,,-6.9,-0.4,-7.3,-0.1
49,Jonah Bolden\boldejo01,PF,24,PHI,4,14,-2.0,.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.140,,-10.0,-1.1,-11.1,0.0
49,Jonah Bolden\boldejo01,PF,24,PHO,1,26,11.8,.436,.167,.333,12.5,17.3,14.9,0.0,1.8,6.7,0.0,11.2,,0.0,0.0,0.1,.115,,-5.2,0.0,-5.2,0.0
50,Marques Bolden\boldema01,C,21,CLE,1,3,19.8,,,,0.0,74.4,36.8,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.278,,-8.6,10.7,2.2,0.0
51,Jordan Bone\bonejo01,PG,22,DET,9,48,-4.3,.176,.471,.000,0.0,2.4,1.2,22.0,1.0,0.0,10.5,17.2,,-0.2,0.0,-0.2,-0.207,,-10.6,-5.6,-16.2,-0.2
52,Isaac Bonga\bongais01,SF,20,WAS,48,850,11.5,.634,.274,.363,6.3,13.8,9.9,8.0,1.8,1.8,15.3,10.5,,1.2,0.4,1.6,.089,,-0.5,0.1,-0.4,0.4
53,Devin Booker\bookede01,SG,23,PHO,52,1866,20.6,.625,.302,.404,1.5,11.6,6.4,29.5,1.0,0.6,15.6,29.7,,4.4,1.1,5.5,.141,,3.8,-1.9,1.8,1.8
54,Chris Boucher\bouchch01,PF,27,TOR,47,607,19.9,.566,.363,.399,14.3,20.4,17.4,4.9,1.3,6.5,7.1,19.9,,1.4,1.2,2.7,.210,,0.0,1.6,1.7,0.6
55,Brian Bowen\bowenbr02,SG,21,IND,3,10,1.0,.250,.250,.000,0.0,11.0,5.5,0.0,0.0,8.8,0.0,17.6,,0.0,0.0,0.0,-0.154,,-12.7,-0.5,-13.3,0.0
56,Ky Bowman\bowmaky01,PG,22,GSW,40,875,8.8,.482,.345,.127,2.4,10.1,6.1,20.2,2.0,0.6,15.9,16.8,,-0.5,0.4,0.0,-0.001,,-3.4,-1.3,-4.7,-0.6
57,Avery Bradley\bradlav01,SG,29,LAL,39,911,9.0,.545,.402,.068,2.1,8.2,5.2,6.6,1.6,0.3,10.8,15.9,,0.2,1.0,1.2,.063,,-1.7,-0.8,-2.4,-0.1
58,Tony Bradley\bradlto01,C,22,UTA,41,420,20.4,.656,.000,.276,19.3,25.8,22.7,4.0,1.2,3.2,13.2,16.5,,1.2,0.7,2.0,.225,,0.5,0.8,1.3,0.4
59,Jarrell Brantley\brantja01,PF,23,UTA,3,11,9.4,,,,0.0,47.3,24.8,10.8,0.0,15.2,100.0,4.0,,0.0,0.0,0.0,.065,,-11.1,13.2,2.0,0.0
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,3.3,.351,.409,.227,3.8,6.2,5.0,10.7,0.0,1.8,7.6,20.9,,-0.1,0.0,-0.1,-0.108,,-6.6,-4.0,-10.6,-0.1
61,Mikal Bridges\bridgmi01,SF,23,PHO,55,1413,12.8,.608,.365,.273,3.6,13.5,8.4,8.5,2.7,1.9,12.7,12.6,,1.5,1.7,3.2,.109,,-0.5,2.1,1.7,1.3
62,Miles Bridges\bridgmi02,SF,21,CHO,54,1657,12.5,.537,.403,.169,4.8,15.3,9.8,9.0,1.0,2.2,11.2,19.5,,0.6,1.0,1.5,.045,,-1.5,-0.6,-2.1,-0.1
