,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
289,242,Amile Jefferson\jeffeam01,PF,26,ORL,18,74,9.0,0.37200000000000005,0.0,1.0,13.8,19.5,16.5,7.4,0.7,3.7,13.0,13.6,,-0.1,0.1,0.0,0.027000000000000003,,-6.5,1.2,-5.3,-0.1
290,243,DaQuan Jeffries\jeffrda01,SG,22,SAC,6,19,10.8,0.5,0.5710000000000001,0.0,5.7,0.0,3.0,7.9,2.6,0.0,0.0,16.1,,0.0,0.0,0.0,0.081,,0.2,-3.0,-2.8,0.0
291,244,Ty Jerome\jeromty01,PG,22,PHO,21,247,10.7,0.465,0.41200000000000003,0.141,2.6,13.2,7.8,20.9,2.7,1.1,13.4,17.9,,-0.1,0.3,0.2,0.038,,-2.8,0.1,-2.7,0.0
292,245,Alize Johnson\johnsal02,SF,23,IND,11,46,14.5,0.541,0.0,0.429,14.5,21.5,18.1,6.0,0.0,0.0,5.7,16.9,,0.1,0.0,0.1,0.142,,-1.9,-2.9,-4.8,0.0
293,246,B.J. Johnson\johnsbj01,SF,24,ORL,8,46,2.6,0.344,0.33299999999999996,0.111,2.2,12.0,6.9,6.3,2.1,0.0,13.7,20.7,,-0.2,0.1,-0.1,-0.129,,-9.6,-1.9,-11.5,-0.1
294,247,Cameron Johnson\johnsca02,PF,23,PHO,42,832,11.9,0.565,0.693,0.14800000000000002,4.7,11.6,8.1,7.6,1.4,1.4,8.3,16.0,,0.8,0.6,1.4,0.08199999999999999,,0.4,-0.9,-0.5,0.3
295,248,James Johnson\johnsja01,PF,32,TOT,21,361,11.9,0.552,0.505,0.183,3.7,16.3,10.2,13.8,1.6,4.5,16.9,17.1,,0.0,0.5,0.5,0.07,,-2.3,1.6,-0.7,0.1
296,248,James Johnson\johnsja01,PF,32,MIA,18,281,11.3,0.547,0.517,0.161,3.3,16.7,10.3,11.1,1.0,4.6,13.9,17.0,,0.0,0.4,0.4,0.07,,-2.4,1.1,-1.2,0.1
297,248,James Johnson\johnsja01,PF,32,MIN,3,80,14.1,0.568,0.455,0.273,5.1,14.9,9.8,23.3,3.5,4.1,26.8,17.3,,0.0,0.1,0.1,0.07,,-1.9,3.1,1.2,0.1
298,249,Keldon Johnson\johnske04,SF,20,SAS,4,12,6.1,0.4,0.0,0.0,0.0,26.7,13.4,0.0,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,-0.07200000000000001,,-11.1,-7.4,-18.5,0.0
