,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
86,11,Reggie Bullock\bullore01,28,22,563,.402,18.0,.500,.157,.074,.078,.191,.500,.461,.656,.200,.375,.436,.343,.681,.005,1,.971,.275,.321,0,0
87,12,Dennis Smith\smithde03,22,31,480,.335,12.9,.725,.324,.121,.088,.192,.275,.348,.525,.227,.250,.171,.300,.152,.038,6,.533,.120,.333,0,0
88,13,Wayne Ellington\ellinwa01,32,28,429,.358,22.8,.201,.052,.030,.007,.112,.799,.407,.857,.000,1.000,.267,.346,.636,.000,0,.946,.093,.700,0,0
89,14,Allonzo Trier\trieral01,24,20,246,.435,18.2,.459,.188,.059,.082,.129,.541,.564,.625,.200,.714,.545,.326,.227,.059,4,.733,.130,.500,0,0
90,15,Kadeem Allen\allenka01,27,10,117,.432,15.1,.636,.159,.182,.227,.068,.364,.500,.571,.375,.600,.333,.313,.286,.000,0,.800,.313,.400,0,0
91,16,Ignas Brazdeikis\brazdig01,21,9,53,.273,15.7,.591,.273,.136,.045,.136,.409,.385,.833,.000,.000,.000,.111,.200,.000,0,1.000,.111,.000,0,0
92,17,Maurice Harkless\harklma01,26,2,42,.375,15.8,.500,.250,.125,.000,.125,.500,.500,.500,.000,,1.000,.250,.500,.000,0,1.000,.500,.000,0,0
93,1,Nikola Jokić\jokicni01,24,57,1854,.527,12.8,.761,.228,.276,.139,.118,.239,.590,.735,.603,.467,.423,.329,.513,.016,14,.855,.029,.500,2,0
94,2,Will Barton\bartowi01,29,50,1656,.445,14.2,.629,.281,.187,.085,.077,.371,.484,.598,.319,.407,.551,.380,.371,.036,22,.689,.118,.500,0,0
95,3,Gary Harris\harriga01,25,48,1537,.398,14.8,.584,.263,.153,.088,.081,.416,.464,.650,.243,.275,.486,.305,.758,.050,22,.897,.263,.420,1,0
96,4,Jamal Murray\murraja01,22,47,1528,.457,16.2,.654,.187,.140,.139,.187,.346,.520,.669,.451,.455,.471,.339,.474,.040,25,.647,.088,.318,2,0
97,5,Jerami Grant\grantje01,25,56,1465,.465,13.9,.602,.306,.171,.060,.065,.398,.516,.687,.366,.379,.226,.387,.758,.108,48,1.000,.272,.346,1,0
98,6,Monte Morris\morrimo01,24,57,1214,.461,14.4,.710,.190,.199,.157,.164,.290,.492,.741,.318,.373,.529,.387,.369,.002,1,.854,.387,.396,0,0
99,7,Paul Millsap\millspa01,34,37,908,.485,12.4,.719,.315,.256,.096,.052,.281,.498,.696,.289,.452,.412,.451,.629,.049,13,1.000,.275,.400,0,0
100,8,Torrey Craig\craigto01,29,44,785,.450,15.7,.478,.317,.089,.033,.039,.522,.593,.719,.375,.167,.429,.319,.667,.050,7,.967,.383,.306,2,0
101,9,Mason Plumlee\plumlma01,29,45,778,.613,5.9,.982,.659,.212,.060,.051,.018,.624,.783,.326,.231,.273,.000,.714,.332,67,,.500,.000,0,0
102,10,Malik Beasley\beaslma01,23,41,746,.389,18.0,.465,.143,.130,.103,.090,.535,.421,.581,.231,.452,.407,.360,.644,.023,5,.966,.193,.419,1,0
103,11,Michael Porter\portemi01,21,41,573,.502,13.2,.636,.336,.146,.049,.105,.364,.548,.711,.333,.250,.462,.422,.605,.117,24,.816,.222,.500,1,0
104,12,Juan Hernangómez\hernaju01,24,34,422,.345,15.5,.455,.318,.091,.036,.009,.545,.460,.543,.200,.500,.000,.250,.609,.091,7,1.000,.250,.333,1,0
105,13,PJ Dozier\doziepj01,23,16,224,.405,14.3,.690,.238,.190,.155,.107,.310,.466,.650,.250,.385,.556,.269,.519,.012,1,.571,.115,.000,3,0
106,14,Jarred Vanderbilt\vandeja01,20,9,41,.714,1.3,1.000,1.000,.000,.000,.000,.000,.714,.714,,,,,.600,.286,2,,,,0,0
107,15,Vlatko Čančar\cancavl01,22,11,38,.455,14.5,.545,.364,.091,.000,.091,.455,.667,.750,1.000,,.000,.200,.750,.182,2,1.000,.000,,0,0
108,16,Jordan McRae\mcraejo01,28,3,27,.400,19.6,.200,.200,.000,.000,.000,.800,.000,.000,,,,.500,,.000,0,1.000,.250,.000,0,0
